city,fans,lights,fridges,ac_1ton,ac_15ton,tvs,washing_machine,water_pump,computers,hours_use,roof_area,total_watts,daily_kwh,kw_needed,panels_needed,system_cost_pkr,monthly_saving_pkr,monthly_bill_pkr,payback_years
Rawalpindi,9,11,1,1,1,4,0,0,3,11,1274,5490,60.39,15.7,40,2355000,90585,117760,2.2
Multan,9,5,1,3,1,3,1,1,0,16,782,8950,143.2,29.8,75,4470000,214800,279240,1.7
Abbottabad,7,9,3,1,1,1,2,1,2,12,1135,6860,82.32,22.9,58,3435000,123480,160524,2.3
Swat,4,16,2,2,2,4,0,1,1,12,471,9190,110.28,30.0,75,4500000,165420,215046,2.3
Sialkot,5,9,2,0,2,1,0,1,0,17,1168,5660,96.22,24.5,62,3675000,144330,187629,2.1
Faisalabad,1,15,2,2,1,2,2,1,2,9,316,7950,71.55,17.5,44,2625000,107325,139522,2.0
Abbottabad,1,12,1,1,2,3,0,1,2,13,1617,7355,95.62,26.6,67,3990000,143422,186449,2.3
Quetta,3,8,3,1,2,2,2,0,1,12,693,7695,92.34,17.8,45,2670000,138510,180063,1.6
Rawalpindi,8,13,1,3,1,1,0,1,0,7,1821,8295,58.06,15.1,38,2265000,87097,113226,2.2
Sukkur,2,7,2,3,2,2,1,1,1,13,1542,10705,139.16,28.1,71,4215000,208747,271371,1.7
Islamabad,4,8,2,3,0,2,2,0,2,14,533,6820,95.48,24.9,63,3735000,143220,186186,2.2
Rawalpindi,2,15,3,2,2,1,1,0,2,10,1713,8825,88.25,23.0,58,3450000,132375,172087,2.2
Sialkot,5,19,1,3,0,1,2,0,3,9,547,7010,63.09,16.1,41,2415000,94634,123025,2.1
Sialkot,9,15,2,1,1,3,0,1,2,9,351,6150,55.35,14.1,36,2115000,83025,107932,2.1
Faisalabad,1,13,3,3,2,2,1,0,2,9,314,10320,92.88,22.8,57,3420000,139319,181115,2.0
Quetta,5,18,1,0,1,4,0,0,0,11,1647,3195,35.14,6.8,17,1020000,52717,68532,1.6
Multan,9,14,1,3,1,4,2,1,0,16,740,9685,154.96,32.3,81,4845000,232440,302172,1.7
Faisalabad,1,8,2,2,1,1,2,1,3,9,1435,7945,71.5,17.5,44,2625000,107257,139434,2.0
Faisalabad,9,11,2,0,1,1,2,1,3,12,995,5590,67.08,16.4,41,2460000,100620,130806,2.0
Islamabad,8,13,1,0,1,2,2,1,3,12,306,5495,65.94,17.2,43,2580000,98909,128582,2.2
Peshawar,4,15,1,0,2,1,2,0,1,10,1886,5975,59.75,14.4,36,2160000,89625,116512,2.0
Quetta,5,11,2,2,0,4,1,1,1,10,1125,5690,56.9,10.9,28,1635000,85350,110955,1.6
Lahore,5,5,1,1,2,3,2,0,3,15,1568,8000,120.0,30.0,75,4500000,180000,234000,2.1
Faisalabad,6,10,2,3,2,3,0,1,1,13,1771,10650,138.45,33.9,85,5085000,207675,269977,2.0
Gujranwala,7,11,1,0,2,2,1,0,2,12,1688,5940,71.28,17.8,45,2670000,106920,138996,2.1
Bahawalpur,8,19,2,0,2,3,0,1,3,12,1690,6835,82.02,16.8,42,2520000,123030,159939,1.7
Peshawar,8,14,3,0,0,1,2,1,3,11,1610,3710,40.81,9.8,25,1470000,61215,79579,2.0
